id;name;number;status;type;price;import_date;export_date
1;portal reboot;66933;Orchestrator North;salmon Legacy Berkshire;48734;2024-06-13;2024-06-13
2;Auto Salad open-source;87119;Investment synergize;feed Oval Creek;74641;2024-06-13;2024-06-13
3;Virginia Finland;7374;solid;overriding web-enabled;69512;2024-06-13;2024-06-13
4;Minnesota;49428;tan;Gorgeous proactive;7768;2024-06-13;2024-06-13
5;state Handcrafted;49498;Dam Shoes Mobility;connecting Pizza interfaces;54946;2024-06-13;2024-06-13
6;even-keeled Garden Lats;82216;state Rustic;Fish visionary;16690;2024-06-13;2024-06-13
7;Refined Cambridgeshire primary;95105;Computer;Architect copy;2268;2024-06-13;2024-06-13
8;Account;14956;up;overriding SDR Utah;83830;2024-06-14;2024-06-13
9;Assistant Mexico;8003;Group firmware Communications;Computers;5145;2024-06-13;2024-06-13
10;bandwidth invoice Alabama;89018;Division;Mouse purple;65583;2024-06-13;2024-06-13
